Id,Attribute,Definition
1,in,directed or bound inward
2,i,used of a single unit or thing; not two or more
3,on,in operation or operational
4,all,quantifier
5,0,indicating the absence of any or all units under consideration
6,1,used of a single unit or thing; not two or more
7,10,being one more than nine
8,100,being ten more than ninety
9,1000,"denoting a quantity consisting of 1,000 items or units"
10,1000th,the ordinal number of one thousand in counting order
11,100th,the ordinal number of one hundred in counting order
12,101,being one more than one hundred
13,101st,the ordinal number of one hundred one in counting order
14,105,being five more than one hundred
15,105th,the ordinal number of one hundred five in counting order
16,10-membered,of a chemical compound having a ring with ten members
17,10th,coming next after the ninth and just before the eleventh in position
18,11,being one more than ten
19,110,being ten more than one hundred
20,110th,the ordinal number of one hundred ten in counting order
21,115,being five more than one hundred ten
22,115th,the ordinal number of one hundred fifteen in counting order
23,11th,coming next after the tenth and just before the twelfth in position
24,12,denoting a quantity consisting of 12 items or units
25,120,being ten more than one hundred ten
26,120th,the ordinal number of one hundred twenty in counting order
27,125,being five more than one hundred twenty
28,125th,the ordinal number of one hundred twenty-five in counting order
29,12th,coming next after the eleventh and just before the thirteenth in position
30,13,being one more than twelve
31,130,being ten more than one hundred twenty
32,130th,the ordinal number of one hundred thirty in counting order
33,135,being five more than one hundred thirty
34,135th,the ordinal number of one hundred thirty-five in counting order
35,13th,coming next after the twelfth in position
36,14,being one more than thirteen
37,140,being ten more than one hundred thirty
38,140th,the ordinal number of one hundred forty in counting order
39,145,being five more than one hundred forty
40,145th,the ordinal number of one hundred forty-five in counting order
41,14th,coming next after the thirteenth in position
42,15,being one more than fourteen
43,150,being ten more than one hundred forty
44,150th,the ordinal number of one hundred fifty in counting order
45,155,being five more than one hundred fifty
46,155th,the ordinal number of one hundred fifty-five in counting order
47,15th,coming next after the fourteenth and just before the sixteenth in position
48,16,being one more than fifteen
49,160,being ten more than one hundred fifty
50,160th,the ordinal number of one hundred sixty in counting order
51,165,being five more than one hundred sixty
52,165th,the ordinal number of one hundred sixty-five in counting order
53,16th,coming next after the fifteenth in position
54,17,being one more than sixteen
55,170,being ten more than one hundred sixty
56,170th,the ordinal number of one hundred seventy in counting order
57,175,being five more than one hundred seventy
58,175th,the ordinal number of one hundred seventy-five in counting order
59,17th,coming next after the sixteenth in position
60,18,being one more than seventeen
61,180,being ten more than one hundred seventy
62,180th,the ordinal number of one hundred eighty in counting order
63,18th,coming next after the seventeenth in position
64,19,being one more than eighteen
65,190,being ten more than one hundred eighty
66,190th,the ordinal number of one hundred eighty-five in counting order
67,19th,coming next after the eighteenth in position
68,1st,indicating the beginning unit in a series
69,2,being one more than one
70,20,denoting a quantity consisting of 20 items or units
71,200,being ten more than one hundred ninety
72,200th,the ordinal number of two hundred in counting order
73,20th,coming next after the nineteenth in position
74,21,being one more than twenty
75,21st,coming next after the twentieth in position
76,22,being two more than twenty
